team_name,team_location,team_mascot,team_abbr,team_code,team_id_num,level,league_name,parent_org_name,parent_org_id,team_logo,team_cap_logo_on_light,team_dot_logo
DSL Arizona Black,DSL Arizona Black,DSL Arizona Black,D-ARB,dak,610,Rookie,Dominican Summer League,Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/610.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/610.svg,https://midfield.mlbstatic.com/v1/team/610/spots/500
ACL D-backs,ACL D-backs,ACL D-backs,A-DBA,adb,1991,Rookie,Arizona Complex League,Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/1991.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/1991.svg,https://midfield.mlbstatic.com/v1/team/1991/spots/500
DSL Arizona Red,DSL Arizona Red,DSL Arizona Red,D-ARR,dad,5087,Rookie,Dominican Summer League,Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/5087.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/5087.svg,https://midfield.mlbstatic.com/v1/team/5087/spots/500
Arizona Diamondbacks,Arizona,Diamondbacks,AZ,ari,109,MLB,National League,Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/109.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg,https://midfield.mlbstatic.com/v1/team/109/spots/500
Reno Aces,Reno,Aces,RNO,ren,2310,AAA,Pacific Coast League,Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/2310.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/2310.svg,https://midfield.mlbstatic.com/v1/team/2310/spots/500
Amarillo Sod Poodles,Amarillo,Sod Poodles,AMA,ama,5368,AA,Texas League,Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/5368.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/5368.svg,https://midfield.mlbstatic.com/v1/team/5368/spots/500
Hillsboro Hops,Hillsboro,Hops,HIL,hil,419,A+,Northwest League,Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/419.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/419.svg,https://midfield.mlbstatic.com/v1/team/419/spots/500
Visalia Rawhide,Visalia,Rawhide,VIS,vis,516,A,California League,Arizona Diamondbacks,109,https://www.mlbstatic.com/team-logos/516.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/516.svg,https://midfield.mlbstatic.com/v1/team/516/spots/500
ACL Athletics,ACL Athletics,ACL Athletics,A-ATH,aoa,5426,Rookie,Arizona Complex League,Athletics,133,https://www.mlbstatic.com/team-logos/5426.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/5426.svg,https://midfield.mlbstatic.com/v1/team/5426/spots/500
DSL Athletics,DSL Athletics,DSL Athletics,D-ATH,dat,602,Rookie,Dominican Summer League,Athletics,133,https://www.mlbstatic.com/team-logos/602.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/602.svg,https://midfield.mlbstatic.com/v1/team/602/spots/500
Athletics,Athletics,Athletics,ATH,ath,133,MLB,American League,Athletics,133,https://www.mlbstatic.com/team-logos/133.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/133.svg,https://midfield.mlbstatic.com/v1/team/133/spots/500
Las Vegas Aviators,Las Vegas,Aviators,LV,lvg,400,AAA,Pacific Coast League,Athletics,133,https://www.mlbstatic.com/team-logos/400.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/400.svg,https://midfield.mlbstatic.com/v1/team/400/spots/500
Midland RockHounds,Midland,RockHounds,MID,mro,237,AA,Texas League,Athletics,133,https://www.mlbstatic.com/team-logos/237.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/237.svg,https://midfield.mlbstatic.com/v1/team/237/spots/500
Lansing Lugnuts,Lansing,Lugnuts,LAN,lns,499,A+,Midwest League,Athletics,133,https://www.mlbstatic.com/team-logos/499.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/499.svg,https://midfield.mlbstatic.com/v1/team/499/spots/500
Stockton Ports,Stockton,Ports,STK,sto,524,A,California League,Athletics,133,https://www.mlbstatic.com/team-logos/524.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/524.svg,https://midfield.mlbstatic.com/v1/team/524/spots/500
FCL Braves,FCL Braves,FCL Braves,F-BRV,fbr,464,Rookie,Florida Complex League,Atlanta Braves,144,https://www.mlbstatic.com/team-logos/464.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/464.svg,https://midfield.mlbstatic.com/v1/team/464/spots/500
